Market,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,Lease Rates
Metal/Currency,Gold,Gold,Silver,Platinum,Platinum,Palladium,Palladium,6 Month
Priced In,USD,USD,USD,USD,USD,USD,USD,Gold
Price Type,AM Fix,PM Fix,Fix,AM Fix,PM Fix,AM Fix,PM Fix,% pa
Summary,,,,,,,,
"01/01/16",,,,,,,,,,,,,,,,,,,
"02/01/16",,,,,,,,,,,,,,,,,,,
"03/01/16",,,,,,,,,,,,,,,,,,,
"04/01/16",1072.7,1082.25,14,878,893,547,550,
"05/01/16",1078,1077,14.01,890,893,545,544,
"06/01/16",1083.85,1091.4,14.005,885,873,532,519,
"07/01/16",1096,1106.35,14.03,869,865,496,486,
"08/01/16",1097.45,1101.85,14.04,876,874,498,505,
"09/01/16",,,,,,,,,,,,,,,,,,,
"10/01/16",,,,,,,,,,,,,,,,,,,
"11/01/16",1104.7,1100.75,13.97,871,853,486,485,
"12/01/16",1094.85,1085.4,13.88,837,843,465,470,
"13/01/16",1081.8,1088.15,13.83,841,843,483,490,
"14/01/16",1090.75,1088.4,14.02,846,835,483,485,
"15/01/16",1081.1,1093.75,13.8,833,839,484,492,
"16/01/16",,,,,,,,,,,,,,,,,,,
"17/01/16",,,,,,,,,,,,,,,,,,,
"18/01/16",1090.45,1089.2,13.88,826,816,490,495,
"19/01/16",1087,1086.25,14.03,830,834,498,499,
"20/01/16",1093.2,1101.75,14.05,822,820,488,486,
"21/01/16",1096.8,1096.5,14.01,817,814,493,497,
"22/01/16",1097.65,1096.25,14.17,824,833,504,507,
"23/01/16",,,,,,,,,,,,,,,,,,,
"24/01/16",,,,,,,,,,,,,,,,,,,
"25/01/16",1103.7,1106.6,14.22,841,862,494,494,
"26/01/16",1114.7,1113.6,14.33,862,867,491,500,
"27/01/16",1116.5,1116.25,14.38,873,876,494,494,
"28/01/16",1119,1114,13.58,884,883,500,499,
"29/01/16",1112.9,1111.8,14.08,864,866,493,501,
"30/01/16",,,,,,,,,,,,,,,,,,,
"31/01/16",,,,,,,,,,,,,,,,,,,
"01/02/16",1122,1126.5,14.33,865,867,495,502,
"02/02/16",1123.6,1128.5,14.26,860,863,497,495,
"03/02/16",1130,1132,14.41,862,861,498,493,
"04/02/16",1146.25,1156.35,14.74,890,897,506,509,
"05/02/16",1158.5,1150.35,14.91,911,899,517,509,
"06/02/16",,,,,,,,,,,,,,,,,,,
"07/02/16",,,,,,,,,,,,,,,,,,,
"08/02/16",1173.4,1193.25,14.94,906,913,499,496,
"09/02/16",1188.9,1191,15.34,925,932,515,517,
"10/02/16",1183.4,1190,15.12,922,926,513,519,
"11/02/16",1223.25,1241,15.65,939,948,523,521,
"12/02/16",1239.5,1239.75,15.64,952,957,521,526,
"13/02/16",,,,,,,,,,,,,,,,,,,
"14/02/16",,,,,,,,,,,,,,,,,,,
"15/02/16",1208.45,1208.2,15.26,936,938,519,516,
"16/02/16",1212,1209.5,15.35,937,933,510,509,
"17/02/16",1202.4,1210,15.25,936,939,511,513,
"18/02/16",1204.4,1210.1,15.25,942,933,513,507,
"19/02/16",1221.5,1231.15,15.37,939,941,501,507,
"20/02/16",,,,,,,,,,,,,,,,,,,
"21/02/16",,,,,,,,,,,,,,,,,,,
"22/02/16",1203.65,1211,15,927,922,499,501,
"23/02/16",1218.75,1221.35,15.21,926,929,499,498,
"24/02/16",1232.25,1250.75,15.32,936,950,498,498,
"25/02/16",1235.4,1236,15.16,940,930,491,487,
"26/02/16",1231,1226.5,15.17,922,928,485,492,
"27/02/16",,,,,,,,,,,,,,,,,,,
"28/02/16",,,,,,,,,,,,,,,,,,,
"29/02/16",1234.15,1234.9,14.75,920,919,491,494,
"01/03/16",1240,1236.5,14.99,938,943,503,511,
"02/03/16",1229.35,1239.2,14.82,938,931,518,517,
"03/03/16",1241.95,1250.25,14.97,936,940,517,524,
"04/03/16",1271.5,1277.5,15.43,959,960,541,550,
"05/03/16",,,,,,,,,,,,,,,,,,,
"06/03/16",,,,,,,,,,,,,,,,,,,
"07/03/16",1267.6,1267.9,15.66,997,1002,559,571,
"08/03/16",1274.1,1267,15.66,1002,1005,566,575,
"09/03/16",1258.25,1246.4,15.27,978,980,556,564,
"10/03/16",1247.25,1266.5,15.27,979,979,562,571,
"11/03/16",1262.25,1264.75,15.5,976,974,569,576,
"12/03/16",,,,,,,,,,,,,,,,,,,
"13/03/16",,,,,,,,,,,,,,,,,,,
"14/03/16",1256.55,1242.75,15.6,969,963,575,567,
"15/03/16",1233.6,1232,15.32,952,956,559,566,
"16/03/16",1233.1,1228.5,15.29,967,963,567,574,
"17/03/16",1269.6,1266.5,15.73,983,988,585,589,
"18/03/16",1254.5,1252.1,15.94,977,972,592,593,
"19/03/16",,,,,,,,,,,,,,,,,,,
