Market,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Lease Rates
Metal/Currency,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,Pald,6 Month
Priced In,USD,USD,AUD,AUD,JPY,JPY,USD,USD,AUD,AUD,JPY,JPY,USD,USD,AUD,AUD,JPY,JPY,Pald
Price Type,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,Bid,Ask,% pa
Summary,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Average,Average,Average,Average,Average,Average,
"01/01/16",,,,,,,,,,,,,,,,,,,
"02/01/16",,,,,,,,,,,,,,,,,,,
"03/01/16",,,,,,,,,,,,,,,,,,,
"04/01/16",552,576,758.31,789.8,66333.84,69350.4,536.56,556.5,743.26,771.42,63856.01,66290.28,543.46,566.14,750.97,782.81,65029.23,67839.57,
"05/01/16",535.95,557,743.86,773.18,63954.91,66700.75,528.47,553.02,735.72,770.44,62983.05,66036.12,531.75,555.48,738.54,771.93,63461.31,66397.36,
"06/01/16",526.5,550,737.86,771.55,62464.5,65554.5,519.15,541,728.4,761.01,61542.98,64211.29,521.99,545.44,733.14,766.43,61898.57,64750.89,
"07/01/16",499.35,524.35,709.62,744.67,59217.92,62250.83,487.2,507.1,690.48,718.98,57494.47,59883.44,496.17,519.01,703.82,736.63,58570.74,61332.12,
"08/01/16",489.5,512.27,696,726.11,57873.59,60709.12,480.45,504.8,684.11,714.51,56577.79,59567.28,485.39,509.01,689.41,723.32,57287.55,60125.43,
"09/01/16",,,,,,,,,,,,,,,,,,,
"10/01/16",,,,,,,,,,,,,,,,,,,
"11/01/16",484.22,508.77,697.62,733.52,56598.1,59510.83,475.72,499.05,683.11,715.62,55621.18,58503.63,478.34,502.07,686.28,720.72,56086.56,58925.39,
"12/01/16",469.5,490,671.87,700.99,55213.2,57751.4,445.5,467.5,641.19,672.29,52225.97,54856.45,454.82,477.31,652.53,685.12,53414.73,56106.71,
"13/01/16",468.5,488.5,665.67,694.58,55390.76,57804.21,457.6,478.6,653.43,684.29,53809.18,56441.3,461.3,484,656.91,689.72,54456.53,57210.9,
"14/01/16",481.5,502.5,693.01,723.13,56754.41,59279.93,471,495.5,678.38,714.26,55272.91,58204.05,474.72,498.31,683.44,717.84,55801.86,58649.12,
"15/01/16",486,511,697.77,734.2,57313.98,60353.8,480.4,500.5,688.63,718.08,56574.13,59084.03,482.91,507.07,693.51,728.72,56909.39,59840.04,
"16/01/16",,,,,,,,,,,,,,,,,,,
"17/01/16",,,,,,,,,,,,,,,,,,,
"18/01/16",485.18,509.06,707.26,740.89,56779.57,59758.55,480,501.5,695.05,727.34,56230.2,58775.8,482.71,506.49,700.33,735.28,56533.85,59391.04,
"19/01/16",494.25,514.7,714.75,744.75,58237.48,60703.72,482.23,503.2,699.93,730.55,56584.87,59181.35,484.93,508.09,704.15,738.24,57007.34,59785.62,
"20/01/16",486,509.5,703.34,739.98,57158.46,59840.78,479.21,501.21,698.13,731.69,55669.83,58270.67,482.56,506.55,700.83,736.09,56499.54,59358.82,
"21/01/16",489,513,707.36,742,57305.91,60221.07,481.75,504.01,697.99,731.19,56350.3,58933.89,485.91,509.1,702.99,736.95,56832.32,59595.44,
"22/01/16",493.6,517.5,705.04,738.16,58208.33,61178.85,488.5,512.5,696.94,730.47,57515.99,60418.63,491.23,515.08,700.45,734.96,57893,60801.05,
"23/01/16",,,,,,,,,,,,,,,,,,,
"24/01/16",,,,,,,,,,,,,,,,,,,
"25/01/16",490.2,514,701.59,734.41,58093.6,61052.92,483.22,505.9,692.49,725.2,57150.43,59873.27,487.44,510.69,696.34,729.9,57777.14,60580.63,
"26/01/16",,,,,,,,,,,,,,,,,,,
"27/01/16",486.4,510,693.96,727.05,57400.06,60348.3,482.05,506.7,684.92,720.96,56987.48,59856.47,483.75,508.33,688.5,723.82,57174.46,60130.41,
"28/01/16",493.65,517.65,697.25,731.45,58640.68,61522.7,487.63,509,691.87,724.12,57793.5,60450.53,488.9,512.73,693.95,728.16,58008.25,60915.37,
"29/01/16",487.65,511.4,685.28,717.75,58812,61725.98,481.35,506.35,677.29,712.67,57154.05,60162.07,483.96,508.08,681.05,715.34,58110.8,61068.46,
"30/01/16",,,,,,,,,,,,,,,,,,,
"31/01/16",,,,,,,,,,,,,,,,,,,
"01/02/16",492.25,514.15,697.15,728.67,59596.71,62399.88,487.23,509.85,688.66,721.07,59052.28,61849.16,489.56,512.21,692.61,725.02,59312.72,62155.68,
"02/02/16",494,519,695.58,731.09,59734.48,62809.38,488.86,508.9,689.4,720.63,58963.75,61434.41,490.84,513.48,692.96,725.33,59237.32,62027.13,
"03/02/16",486.97,511.52,690.74,725.97,58308.29,61353.06,479.5,503.5,682.95,717.65,57329.02,60268.95,483.27,507.12,687.3,721.6,57822.7,60757.66,
"04/02/16",504.2,527.35,702.52,734.78,59495.6,62369.68,497.1,517.4,689.75,718.11,58453.99,60872.11,501.41,525.14,698.51,731.96,59105.73,61965.73,
"05/02/16",506.15,531.15,704.16,739.35,59158.81,62117.99,501.93,526.93,696.64,731.85,58575.23,61561.23,504.25,528.87,701.2,735.86,58853.79,61784.74,
"06/02/16",,,,,,,,,,,,,,,,,,,
