Date,market,metal,currency,type,summary,price
04/01/16,Perth Mint Spot,Plat,USD,Bid,High,878.34
05/01/16,Perth Mint Spot,Plat,USD,Bid,High,880.9
06/01/16,Perth Mint Spot,Plat,USD,Bid,High,882.1
07/01/16,Perth Mint Spot,Plat,USD,Bid,High,872.85
08/01/16,Perth Mint Spot,Plat,USD,Bid,High,868.8
11/01/16,Perth Mint Spot,Plat,USD,Bid,High,871.3
12/01/16,Perth Mint Spot,Plat,USD,Bid,High,836.51
13/01/16,Perth Mint Spot,Plat,USD,Bid,High,830.05
14/01/16,Perth Mint Spot,Plat,USD,Bid,High,839.53
15/01/16,Perth Mint Spot,Plat,USD,Bid,High,828.51
18/01/16,Perth Mint Spot,Plat,USD,Bid,High,822.67
19/01/16,Perth Mint Spot,Plat,USD,Bid,High,825.46
20/01/16,Perth Mint Spot,Plat,USD,Bid,High,818.7
21/01/16,Perth Mint Spot,Plat,USD,Bid,High,814.6
22/01/16,Perth Mint Spot,Plat,USD,Bid,High,816.81
25/01/16,Perth Mint Spot,Plat,USD,Bid,High,833.73
27/01/16,Perth Mint Spot,Plat,USD,Bid,High,869.7
28/01/16,Perth Mint Spot,Plat,USD,Bid,High,873.2
29/01/16,Perth Mint Spot,Plat,USD,Bid,High,861.45
01/02/16,Perth Mint Spot,Plat,USD,Bid,High,863.02
02/02/16,Perth Mint Spot,Plat,USD,Bid,High,862.46
03/02/16,Perth Mint Spot,Plat,USD,Bid,High,851.0
04/02/16,Perth Mint Spot,Plat,USD,Bid,High,879.06
05/02/16,Perth Mint Spot,Plat,USD,Bid,High,899.23
08/02/16,Perth Mint Spot,Plat,USD,Bid,High,902.09
09/02/16,Perth Mint Spot,Plat,USD,Bid,High,919.57
10/02/16,Perth Mint Spot,Plat,USD,Bid,High,923.9
11/02/16,Perth Mint Spot,Plat,USD,Bid,High,928.8
12/02/16,Perth Mint Spot,Plat,USD,Bid,High,947.99
15/02/16,Perth Mint Spot,Plat,USD,Bid,High,943.46
16/02/16,Perth Mint Spot,Plat,USD,Bid,High,928.69
17/02/16,Perth Mint Spot,Plat,USD,Bid,High,929.35
18/02/16,Perth Mint Spot,Plat,USD,Bid,High,935.19
19/02/16,Perth Mint Spot,Plat,USD,Bid,High,937.3
22/02/16,Perth Mint Spot,Plat,USD,Bid,High,930.26
23/02/16,Perth Mint Spot,Plat,USD,Bid,High,921.5
24/02/16,Perth Mint Spot,Plat,USD,Bid,High,934.3
25/02/16,Perth Mint Spot,Plat,USD,Bid,High,934.4
26/02/16,Perth Mint Spot,Plat,USD,Bid,High,918.5
29/02/16,Perth Mint Spot,Plat,USD,Bid,High,913.3
01/03/16,Perth Mint Spot,Plat,USD,Bid,High,929.44
02/03/16,Perth Mint Spot,Plat,USD,Bid,High,929.16
03/03/16,Perth Mint Spot,Plat,USD,Bid,High,928.4
04/03/16,Perth Mint Spot,Plat,USD,Bid,High,947.4
08/03/16,Perth Mint Spot,Plat,USD,Bid,High,996.87
09/03/16,Perth Mint Spot,Plat,USD,Bid,High,971.6
10/03/16,Perth Mint Spot,Plat,USD,Bid,High,972.4
11/03/16,Perth Mint Spot,Plat,USD,Bid,High,981.6
14/03/16,Perth Mint Spot,Plat,USD,Bid,High,960.4
15/03/16,Perth Mint Spot,Plat,USD,Bid,High,947.5
16/03/16,Perth Mint Spot,Plat,USD,Bid,High,955.4
17/03/16,Perth Mint Spot,Plat,USD,Bid,High,972.6
18/03/16,Perth Mint Spot,Plat,USD,Bid,High,980.0
21/03/16,Perth Mint Spot,Plat,USD,Bid,High,960.24
22/03/16,Perth Mint Spot,Plat,USD,Bid,High,975.9
23/03/16,Perth Mint Spot,Plat,USD,Bid,High,987.9
24/03/16,Perth Mint Spot,Plat,USD,Bid,High,949.99
29/03/16,Perth Mint Spot,Plat,USD,Bid,High,940.2
30/03/16,Perth Mint Spot,Plat,USD,Bid,High,961.7
31/03/16,Perth Mint Spot,Plat,USD,Bid,High,963.12
01/04/16,Perth Mint Spot,Plat,USD,Bid,High,972.5
04/04/16,Perth Mint Spot,Plat,USD,Bid,High,948.4
05/04/16,Perth Mint Spot,Plat,USD,Bid,High,943.5
06/04/16,Perth Mint Spot,Plat,USD,Bid,High,945.64
07/04/16,Perth Mint Spot,Plat,USD,Bid,High,943.0
08/04/16,Perth Mint Spot,Plat,USD,Bid,High,948.95
11/04/16,Perth Mint Spot,Plat,USD,Bid,High,969.36
12/04/16,Perth Mint Spot,Plat,USD,Bid,High,986.74
13/04/16,Perth Mint Spot,Plat,USD,Bid,High,990.44
14/04/16,Perth Mint Spot,Plat,USD,Bid,High,983.76
15/04/16,Perth Mint Spot,Plat,USD,Bid,High,979.86
18/04/16,Perth Mint Spot,Plat,USD,Bid,High,973.5
19/04/16,Perth Mint Spot,Plat,USD,Bid,High,982.5
20/04/16,Perth Mint Spot,Plat,USD,Bid,High,1010.03
21/04/16,Perth Mint Spot,Plat,USD,Bid,High,1019.5
22/04/16,Perth Mint Spot,Plat,USD,Bid,High,1018.75
26/04/16,Perth Mint Spot,Plat,USD,Bid,High,1005.41
27/04/16,Perth Mint Spot,Plat,USD,Bid,High,1009.1
28/04/16,Perth Mint Spot,Plat,USD,Bid,High,1026.76
29/04/16,Perth Mint Spot,Plat,USD,Bid,High,1052.09
02/05/16,Perth Mint Spot,Plat,USD,Bid,High,1073.8
03/05/16,Perth Mint Spot,Plat,USD,Bid,High,1076.5
04/05/16,Perth Mint Spot,Plat,USD,Bid,High,1052.0
05/05/16,Perth Mint Spot,Plat,USD,Bid,High,1053.5
06/05/16,Perth Mint Spot,Plat,USD,Bid,High,1055.5
09/05/16,Perth Mint Spot,Plat,USD,Bid,High,1066.5
10/05/16,Perth Mint Spot,Plat,USD,Bid,High,1040.5
11/05/16,Perth Mint Spot,Plat,USD,Bid,High,1052.56
12/05/16,Perth Mint Spot,Plat,USD,Bid,High,1058.01
13/05/16,Perth Mint Spot,Plat,USD,Bid,High,1049.1
16/05/16,Perth Mint Spot,Plat,USD,Bid,High,1048.71
17/05/16,Perth Mint Spot,Plat,USD,Bid,High,1046.74
18/05/16,Perth Mint Spot,Plat,USD,Bid,High,1043.6
19/05/16,Perth Mint Spot,Plat,USD,Bid,High,1020.86
20/05/16,Perth Mint Spot,Plat,USD,Bid,High,1011.9
23/05/16,Perth Mint Spot,Plat,USD,Bid,High,1015.7
24/05/16,Perth Mint Spot,Plat,USD,Bid,High,1002.7
25/05/16,Perth Mint Spot,Plat,USD,Bid,High,994.6
26/05/16,Perth Mint Spot,Plat,USD,Bid,High,996.8
