,Date,market,metal,currency,type,summary,price
3,04/01/16,Perth Mint Spot,Gold,USD,Bid,High,1068.46
4,05/01/16,Perth Mint Spot,Gold,USD,Bid,High,1074.19
5,06/01/16,Perth Mint Spot,Gold,USD,Bid,High,1080.35
6,07/01/16,Perth Mint Spot,Gold,USD,Bid,High,1098.5
7,08/01/16,Perth Mint Spot,Gold,USD,Bid,High,1105.3
10,11/01/16,Perth Mint Spot,Gold,USD,Bid,High,1102.9
11,12/01/16,Perth Mint Spot,Gold,USD,Bid,High,1094.65
12,13/01/16,Perth Mint Spot,Gold,USD,Bid,High,1082.65
13,14/01/16,Perth Mint Spot,Gold,USD,Bid,High,1090.76
14,15/01/16,Perth Mint Spot,Gold,USD,Bid,High,1080.1
17,18/01/16,Perth Mint Spot,Gold,USD,Bid,High,1088.5
18,19/01/16,Perth Mint Spot,Gold,USD,Bid,High,1088.74
19,20/01/16,Perth Mint Spot,Gold,USD,Bid,High,1091.3
20,21/01/16,Perth Mint Spot,Gold,USD,Bid,High,1100.0
21,22/01/16,Perth Mint Spot,Gold,USD,Bid,High,1097.31
24,25/01/16,Perth Mint Spot,Gold,USD,Bid,High,1100.6
26,27/01/16,Perth Mint Spot,Gold,USD,Bid,High,1117.5
27,28/01/16,Perth Mint Spot,Gold,USD,Bid,High,1121.35
28,29/01/16,Perth Mint Spot,Gold,USD,Bid,High,1111.42
31,01/02/16,Perth Mint Spot,Gold,USD,Bid,High,1118.78
32,02/02/16,Perth Mint Spot,Gold,USD,Bid,High,1124.87
33,03/02/16,Perth Mint Spot,Gold,USD,Bid,High,1124.61
34,04/02/16,Perth Mint Spot,Gold,USD,Bid,High,1141.7
35,05/02/16,Perth Mint Spot,Gold,USD,Bid,High,1152.16
38,08/02/16,Perth Mint Spot,Gold,USD,Bid,High,1167.65
39,09/02/16,Perth Mint Spot,Gold,USD,Bid,High,1189.5
40,10/02/16,Perth Mint Spot,Gold,USD,Bid,High,1188.21
41,11/02/16,Perth Mint Spot,Gold,USD,Bid,High,1214.3
42,12/02/16,Perth Mint Spot,Gold,USD,Bid,High,1242.96
45,15/02/16,Perth Mint Spot,Gold,USD,Bid,High,1228.2
46,16/02/16,Perth Mint Spot,Gold,USD,Bid,High,1208.85
47,17/02/16,Perth Mint Spot,Gold,USD,Bid,High,1205.0
48,18/02/16,Perth Mint Spot,Gold,USD,Bid,High,1204.7
